station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month
Palmerston,2022-08-02,14.246666666666668,19.69,24,0.0,19.204583333333332,24.48,76.72500000000001,25.774583333333336,2.1008333333333336,1010.6870833333332,0.0,0.056169015367483366,0.14275388359951194,2022,8
Palmerston,2022-08-03,13.82625,29.56,24,1.0,17.662916666666668,33.96,84.65833333333333,25.7625,1.8127272727272727,1010.4016666666666,0.0,-0.31579111555324474,-0.16187975400828727,2022,8
Palmerston,2022-08-04,15.685833333333333,62.79,24,4.0,19.685,66.67,82.10416666666667,26.733333333333334,1.9708333333333332,1010.06875,0.0,-0.3990264254834641,-0.22248237142816937,2022,8
Palmerston,2022-08-05,,,14,,,,81.33333333333333,27.04041666666667,2.6042857142857145,1009.3666666666667,0.0,-0.7767262667871045,0.005065266144090181,2022,8
Palmerston,2022-08-06,,,3,,,,79.86666666666666,27.235416666666666,1.8233333333333333,1009.2470833333333,0.0,-0.5399806723338637,-0.8253012782341215,2022,8
Palmerston,2022-08-07,,,0,,,,82.10416666666667,27.48,,1009.5616666666666,,,,2022,8
Palmerston,2022-08-08,,,14,,,,72.19166666666666,28.190833333333334,2.7807142857142857,1009.9766666666666,0.0,0.4525893490099459,0.00028405290879026025,2022,8
Palmerston,2022-08-09,8.024166666666668,14.74,24,0.0,13.676666666666668,29.14,66.8625,27.725416666666664,2.092608695652174,1010.50625,0.0,0.7298038659287935,-0.0939342493553018,2022,8
Palmerston,2022-08-10,9.616249999999999,16.68,24,0.0,15.762083333333335,24.1,70.87083333333334,26.731666666666666,1.9652380952380955,1011.195,0.0,0.308224295418264,0.006948812019980866,2022,8
Palmerston,2022-08-11,9.4375,12.46,24,0.0,16.35875,25.81,80.44583333333334,26.434583333333332,2.381818181818182,1011.56875,0.0,0.04333083261921363,0.07792759774050045,2022,8
Palmerston,2022-08-12,9.935,17.56,24,0.0,16.951249999999998,27.44,76.80833333333332,27.56958333333333,2.2616666666666667,1011.5020833333333,0.0,0.20853011312331804,0.3643369942553231,2022,8
Palmerston,2022-08-13,9.671666666666667,19.7,24,0.0,16.419583333333332,27.69,76.12083333333334,27.16625,2.097916666666667,1011.5762500000001,0.0,0.31388814745411725,0.4027704711609313,2022,8
Palmerston,2022-08-14,10.467083333333333,21.35,24,0.0,17.117916666666666,29.0,74.825,27.545,2.004166666666667,1011.4195833333333,0.0,0.37101231750919594,-0.090137046349953,2022,8
Palmerston,2022-08-15,17.24125,48.92,24,6.0,23.012083333333333,54.81,62.94782608695652,26.519166666666667,2.0860869565217395,1011.6066666666667,0.0,0.5245606650039836,-0.24671144654607283,2022,8
Palmerston,2022-08-16,21.704583333333332,42.76,24,9.0,26.729166666666668,47.89,57.38333333333333,24.485,2.018333333333333,1012.1,,0.770746774215899,-0.18448695808029128,2022,8
Palmerston,2022-08-17,28.812105263157893,63.3,19,,33.32421052631579,69.02,57.74583333333334,24.45375,2.1436363636363636,1013.4604166666667,0.0,0.5364463617185421,0.06758534110387361,2022,8
Palmerston,2022-08-18,19.401818181818182,38.32,22,,24.181818181818183,42.51,68.48333333333333,24.326666666666668,1.6975,1012.80375,0.0,0.2938076015370223,-0.15303367239266055,2022,8
Palmerston,2022-08-19,21.780416666666667,31.64,24,5.0,28.57166666666667,40.75,69.22500000000001,25.459166666666665,2.165,1012.4941666666667,0.0,0.4431799159932766,0.17245154329829113,2022,8
Palmerston,2022-08-20,25.366666666666664,63.74,24,6.0,32.85916666666667,73.65,65.19583333333334,25.883750000000003,2.28625,1013.8016666666667,0.0,0.8095954380708547,-0.23909323093702198,2022,8
Palmerston,2022-08-21,25.08875,59.02,24,8.0,33.90416666666667,68.05,57.737500000000004,25.941666666666666,2.5025,1012.4025,0.0,0.7942811788025206,-0.28372906604531595,2022,8
Palmerston,2022-08-22,24.665833333333335,69.47,24,9.0,30.82375,74.93,55.229166666666664,25.6775,2.05375,1012.0108333333333,0.0,0.5312528275827176,-0.1693124379610644,2022,8
Palmerston,2022-08-23,23.109583333333333,51.85,24,10.0,29.0475,58.81,64.7375,26.614583333333332,2.2229166666666664,1011.9933333333333,0.0,0.48778303543974094,-0.31488145166357634,2022,8
Palmerston,2022-08-24,21.45958333333333,97.01,24,5.0,42.46125,101.99,49.68333333333334,26.3225,2.6870833333333333,1013.0500000000001,0.0,0.6874734335994179,-0.48589029892201574,2022,8
Palmerston,2022-08-25,11.399583333333334,30.81,24,1.0,22.495416666666667,42.61,30.15833333333333,25.20375,2.80625,1012.9879166666666,0.0,0.5913802484669448,-0.4600285954766093,2022,8
